Taxon,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species
Symphyotrichum x columbianum,accepted,1416877,Symphyotrichum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,
Symphytum ibericum,accepted,444053,Symphytum ibericum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Boraginoideae,Boragineae,Symphytum,ibericum
Tamarix parviflora,accepted,56011,Tamarix parviflora,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Tamaricaceae,,,Tamarix,parviflora
Tamarix ramosissima,accepted,56015,Tamarix ramosissima,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Tamaricaceae,,,Tamarix,ramosissima
Tanecetum balsamita,unknown,,,,,,,,,,,,,,,,,,
Taxus baccata,accepted,47553,Taxus baccata,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Taxaceae,,,Taxus,baccata
Teline monspessulana,unaccepted,53403,Genista monspessulana,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Genisteae,Genista,monspessulana
Teucrium scorodonia,accepted,57439,Teucrium scorodonia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Ajugoideae,,Teucrium,scorodonia
Thlaspi macrophyllum,unaccepted,371906,Pachyphragma macrophyllum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,Brassicoideae,Thlaspideae,Pachyphragma,macrophyllum
Thymus serpyllum,accepted,322051,Thymus serpyllum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Nepetoideae,Mentheae,Thymus,serpyllum
Tilia platyphyllos,accepted,169761,Tilia platyphyllos,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malvales,,,,Malvaceae,Tilioideae,,Tilia,platyphyllos
Torilis nodosa,accepted,53304,Torilis nodosa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Scandiceae,Torilis,nodosa
Trachyspermum ammi,accepted,155843,Trachyspermum ammi,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Pyramidoptereae,Trachyspermum,ammi
Trifolium fucatum,accepted,53901,Trifolium fucatum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Trifolieae,Trifolium,fucatum
Trifolium resupinatum,accepted,79429,Trifolium resupinatum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Trifolieae,Trifolium,resupinatum
Trigonella caerulea,accepted,169980,Trigonella caerulea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Trifolieae,Trigonella,caerulea
Trigonotis peduncularis,accepted,169982,Trigonotis peduncularis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Cynoglossoideae,Myosotideae,Trigonotis,peduncularis
Tropaeolum majus,accepted,54329,Tropaeolum majus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Tropaeolaceae,,,Tropaeolum,majus
Ulmus rubra,accepted,54860,Ulmus rubra,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Ulmaceae,,,Ulmus,rubra
Verbascum chaixii L,accepted,371658,Verbascum chaixii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Scrophulariaceae,,Scrophularieae,Verbascum,chaixii
Verbascum lychnitis,accepted,133231,Verbascum lychnitis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Scrophulariaceae,,Scrophularieae,Verbascum,lychnitis
Verbascum nigrum,accepted,56164,Verbascum nigrum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Scrophulariaceae,,Scrophularieae,Verbascum,nigrum
Verbena bonariensis,accepted,79487,Verbena bonariensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Verbenaceae,,Verbeneae,Verbena,bonariensis
Verbena officinalis,accepted,56163,Verbena officinalis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Verbenaceae,,Verbeneae,Verbena,officinalis
Verbena urticifolia,accepted,129278,Verbena urticifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Verbenaceae,,Verbeneae,Verbena,urticifolia
Verbena urticifolia var. urticifolia,invalid,129278,Verbena urticifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Verbenaceae,,Verbeneae,Verbena,urticifolia
Veronica agrestis,accepted,56626,Veronica agrestis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Veroniceae,Veronica,agrestis
Veronica austriaca,accepted,738833,Veronica austriaca,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Veroniceae,Veronica,austriaca
Veronica austriaca subsp. vahlii,unaccepted,738840,Veronica orsiniana,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Veroniceae,Veronica,orsiniana
Viburnum lantana,accepted,124741,Viburnum lantana,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Viburnaceae,,,Viburnum,lantana
Viburnum plicatum,accepted,170203,Viburnum plicatum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Viburnaceae,,,Viburnum,plicatum
Viburnum tinus,accepted,82666,Viburnum tinus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Viburnaceae,,,Viburnum,tinus
Viola riviniana,accepted,61481,Viola riviniana,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Violaceae,,,Viola,riviniana
Viola x wittrockiana,accepted,1392361,Viola,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Violaceae,,,Viola,
Vitis riparia,accepted,119936,Vitis riparia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Vitales,,,,Vitaceae,,,Vitis,riparia
Vitis vinifera,accepted,79519,Vitis vinifera,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Vitales,,,,Vitaceae,,,Vitis,vinifera
Wisteria chinensis,unknown,,,,,,,,,,,,,,,,,,
Xanthium spinosum,accepted,58045,Xanthium spinosum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Heliantheae,Xanthium,spinosum
Yucca filamentosa,accepted,81605,Yucca filamentosa,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Asparagaceae,Agavoideae,,Yucca,filamentosa
